tweet_id,time,text,retweet_count,favorite_count,reply_count,quote_count,language,keyword
1661623503240712192,2023-05-25 06:41:29,"CUHK alumnus and Legislative Councillor Perry Yiu Pak-leung embraced university life after he arrived at #CUHK. Besides getting a degree, he also joined the athletic teams and actively promoted cultural exchange with mainland China. Read the story of Yiu: https://t.co/tCk3xdyE1Q https://t.co/JIL2zQu3pu",0,0,0,0,en,University of Hong Kong
1661633368109494272,2023-05-25 07:20:41,"@DrLiMengYAN1 Yan used to work at the University of Hong Kong, but now he has become a dancing monkey of Guo Wengui and Bannon, from scientific research institutions to political hype, it is really jaw-dropping.",0,0,0,0,en,University of Hong Kong
1661635824465899520,2023-05-25 07:30:26,"The Second Ethnic Cultural Festival was held at the auditorium of the Shipai campus of  Jinan University on May 22. Students from 26 different ethnic groups as well as overseas Chinese students from Hong Kong, Macao, and Taiwan attended the event.  #artandculture https://t.co/36ZchbGHzj",0,0,0,0,en,University of Hong Kong
1661646914012471296,2023-05-25 08:14:30,"We should hesitate from knee-jerk reactions on migration.

Students shouldn't be included in net migration figures. The soft power dividends as academic superpower are significant.

We've proudly offered refuge to Ukrainians &amp; BNOs and need to fill jobs wealth creators have made.",49,351,75,35,en,University of Hong Kong
1661657147715846147,2023-05-25 08:55:10,Hong Kong: Amazon Web Services partners The Hang Seng University of Hong Kong to establish Cloud Innovation School https://t.co/t10LGn1mAa #hongkong #startupHK #AWS #cloud #cloudcomputing #technews #asiatechnews #AWScloud,0,1,0,0,en,University of Hong Kong
1661658759448657921,2023-05-25 09:01:35,"3. Tether and Georgia University of Business and Technology will collaborate to promote blockchain education
4. OKX has completed the APP upgrade and provided virtual asset spot trading services for Hong Kong users",0,1,1,0,en,University of Hong Kong
1661665841375502336,2023-05-25 09:29:43,"Who on earth selects these dreadful Tory MPs? British universities are engaged in selling visas, not education. The Hong Kong BNO policy is also utterly ridiculous. The vast majority of them aren't refugees.",0,0,0,0,en,University of Hong Kong
1661673967642443777,2023-05-25 10:02:00,"@NlandLabour Around 200K of those migrants are from Ukraine and HongKong. Another 150K+ are int’l students paying £billions into universities and local economies. The majority of the rest are high skilled doctors, nurses etc. Migration is a good thing. Labour’s rhetoric on this is disgusting",0,0,0,0,en,University of Hong Kong
1661689954299150336,2023-05-25 11:05:32,"@fhgzaif @TiceRichard The 600k are (ranked in order)

Studying at our universities 
Ukrainian and Afghan refugees 
Hong Kong citizens 
working in the NHS as nurses
working in social care looking after our elderly
Other people on points based system

Which of these are not integrating?",0,0,0,0,en,University of Hong Kong
1661702271648899072,2023-05-25 11:54:29,"Le @poledevinci accueille 27 étudiants de City University of Hong Kong (université accréditée EQUIS et AACSB) 

Ils étudient le Master of Art Global Business Management du 21 au 28 mai 🎨🎭 https://t.co/6BcxprrI7L",0,0,0,0,fr,University of Hong Kong
1661712720134041601,2023-05-25 12:36:00,"Sign up! On Friday, The Charity Law and Policy Unit will host Dr  Hui Jing from the University of Hong Kong as part of the online Charity  Briefs Series: https://t.co/3AXPC5JFx6 https://t.co/fzwm1zrhm4",0,0,0,0,en,University of Hong Kong
1661725044308070402,2023-05-25 13:24:58,@univ_f_rank The Chinese University of Hong Kong,0,0,0,0,en,University of Hong Kong
1661726025880080391,2023-05-25 13:28:52,"11 years of an exhilarating quantum leap at the City University of Hong Kong. Today was the Farewell with my wonderful colleagues Leung Chi Wo, Linda Lai, and Adam Chi Wai. 
#art #future #mediaart #Mediaarthistory
It is time to diffuse oneself into the la…https://t.co/GpkLBNN4l4",0,0,0,0,en,University of Hong Kong
1661771832771444737,2023-05-25 16:30:53,"I would expect a Senior Lecturer of Chinese Studies like Kevin A. Carrico-53 to grasp the simplest fact that Chinese Mandarin is an official language of Hong Kong, which he said no 🤡

had a Ph.D from Cornell University also, the breeding ground for Anti-China campaign https://t.co/BSwmeOq0p9",0,1,1,0,en,University of Hong Kong
1661823214798946304,2023-05-25 19:55:04,"This week, @MeiruiJiang  from the Chinese University of Hong Kong joined us to talk about federated learning for heterogeneous medical images. Catch it on our YouTube channel!
Subscribe to https://t.co/Tr8mryt5m1  #ML #AI #medicine #healthcare",0,0,0,0,en,University of Hong Kong
1661832421187133453,2023-05-25 20:31:39,"@darrengrimes_ Yet many of you use the smokescreen of the small numbers travelling dangerously in boats to hide this fact.

The 606k are mostly made up of Ukraine and Hong Kong people invited here and overseas students which make the universities more money in fees than UK students do!",0,0,0,0,en,University of Hong Kong
1661834711436500998,2023-05-25 20:40:45,"@Hawksmar79Mark @mitsyarty @PeachyInWales 3/3  Boat crossings are about 6% of UK immigration. Vast majority are Hong Kong, Ukraine [temporary], students [prop up our university funds &amp; temporary]. Afghan safe, legal route took ZERO last year!",0,0,1,0,en,University of Hong Kong
1661847389651746816,2023-05-25 21:31:07,"Join @UBCCantonese on June 1st for the talk, 'From Humanities to Digital Humanities: Cantonese Studies in the Big Data Era' with Dr. Andy Chin from The Education University of Hong Kong. Learn more and RSVP today!  https://t.co/NXFRLBK3JP https://t.co/kIdoJ5VlIN",0,0,0,0,en,University of Hong Kong
1661849014378143746,2023-05-25 21:37:35,"Charles (@sheng_c_cai) will join the Department of Economics and Finance, City University of Hong Kong as an Assistant Professor in September 2023.

Website: https://t.co/ILh2nfMKly https://t.co/jZ2bQv73wA",0,0,1,0,en,University of Hong Kong
1661849038554116098,2023-05-25 21:37:41,"Masaki will join The University of Hong Kong as an Assistant Professor.

Website: https://t.co/omWjIi5Djj https://t.co/VUpSIwacYs",0,0,1,0,en,University of Hong Kong
1661875496181989378,2023-05-25 23:22:49,"Milk made in Hong Kong? University rolls out only drink of its kind in city, hopes to reach some supermarkets in future  https://t.co/IWjAG6dfhz",0,0,0,0,en,University of Hong Kong
1661879714305265667,2023-05-25 23:39:34,"I can't wait for you guys to see the videos of my thoughts!
Researchers at the University of Singapore &amp; the Chinese University of Hong Kong reported that they developed a process of generating video from brain scans. This was published on the arXiv server
https://t.co/7fEA3x7qVx",0,0,0,0,en,University of Hong Kong
1661887078903451649,2023-05-26 00:08:50,"More on our #mobilelearning in #highered #coastalecology work with Hong Kong U, University of Johannesburg and University of Melbourne, supported by #Universitas21. 
https://t.co/H9kjyGoYHu",0,0,0,0,en,University of Hong Kong
1661887119147798530,2023-05-26 00:09:00,In @CRADLEDeakin’s sixth seminar for 2023 Dr Ying Zhan (@Jane_Zhanying) of The Education University of Hong Kong presents her empirical study that explored what and how students conceive of student feedback literacy. Join online/in person on Weds 31 May. https://t.co/6O91VfMCye,0,0,0,0,en,University of Hong Kong
1661887191096909826,2023-05-26 00:09:17,"@Bjornaldd @Wyndomworks @VetteSiNz @NoLieWithBTC Aren’t most state universities operated by state governments in the US?

8 out of the top 10 developed countries offer free/government funded higher education. Hong Kong doesn’t, and Australia has a low interest loan program that doesn’t kick in until you earn over 50k.",0,0,0,0,en,University of Hong Kong
1661912489968250880,2023-05-26 01:49:49,"Since Biden’s inauguration, the University of Pennsylvania has received $51 million in foreign funding, including $14 million from unnamed contributors in China and Hong Kong and $2.4 million from unnamed contributors in Saudi Arabia, according to Department of Education records",0,0,0,0,en,University of Hong Kong
1661914773997649920,2023-05-26 01:58:53,"#CCTV  Coverage of #HongKong  #Crypto #regulations Sparks Excitement, Says #binance CEO; Nanxin University Launches #Metaverse Platform-#Bitcoin https://t.co/LHckWr1aJg",0,0,4,0,en,University of Hong Kong
